iucn_id,sci_name,vuln,mp_particles_ml,log_mp_particles_ml,distance_km,log_toxic_pressure,eco_risk_score,eco_risk_index,eco_risk_class,geometry
55823,Lampyris noctiluca,1,1.1680726801081333e-10,-9.928827915324629,261.19253808456637,-11.343801263295447,4.531048769646656e-12,3.0952227786607504e-08,low,POINT (507984.343656 6525349.022306)
55824,Lampyris noctiluca,1,9.753316612656762e-10,-9.01040262681107,155.07992388570293,-10.425375974781888,3.755121774098757e-11,2.5844871009388663e-07,medium,POINT (508166.462343 6649508.854591)
55825,Lampyris noctiluca,1,4.822359287169443e-10,-9.315840783278835,190.2971291654306,-10.730814131249653,1.858599725834399e-11,1.277855099834311e-07,medium,POINT (509043.993889 6606004.17047)
55826,Lampyris noctiluca,1,5.719599202837143e-10,-9.24187575675584,181.7653568389356,-10.656849104726659,2.203692001091212e-11,1.5156106327041726e-07,medium,POINT (510112.538549 6617039.067093)
55827,Lampyris noctiluca,1,5.718313130590164e-10,-9.241973249923232,181.7766007811421,-10.65694659789405,2.203197357919294e-11,1.5152698422566546e-07,medium,POINT (510115.51078 6617027.398515)
55828,Lampyris noctiluca,1,5.719782028167562e-10,-9.241861899108459,181.7637586289735,-10.656835247079277,2.2037623185259842e-11,1.5156590787586717e-07,medium,POINT (510115.521912 6617043.133419)
55829,Lampyris noctiluca,1,5.718938833352248e-10,-9.24192581459441,181.77113003725464,-10.656899162565228,2.2034380128277876e-11,1.515435644391646e-07,medium,POINT (510121.789199 6617038.536702)
55830,Lampyris noctiluca,1,1.0833577876944282e-09,-8.964827397148545,149.8277748306085,-10.379800745119363,4.170606875747794e-11,2.870740630284146e-07,medium,POINT (511380.044536 6659766.513731)
55831,Lampyris noctiluca,1,3.405407534866153e-10,-9.466557467799818,207.69206253282394,-10.881530815770637,1.313618282640827e-11,9.023834862369104e-08,medium,POINT (512031.05205 6587359.763283)
55832,Lampyris noctiluca,1,8.905021149839393e-10,-9.049877622174813,159.62952892452105,-10.464850970145632,3.4288542883997636e-11,2.3597011364812555e-07,medium,POINT (513178.199402 6647905.137213)
55833,Lampyris noctiluca,1,3.560766156174119e-10,-9.447238590134448,205.4615068081922,-10.862211938105267,1.3733715985285078e-11,9.435512621572618e-08,medium,POINT (513185.969503 6590674.344068)
55834,Lampyris noctiluca,1,3.1962980159910303e-10,-9.493996113708224,210.8606300084573,-10.908969461679042,1.233191544611934e-11,8.46972503934238e-08,medium,POINT (518331.379006 6587527.645039)
55835,Lampyris noctiluca,1,2.7105784250300266e-10,-9.56533875034368,219.10219085972795,-10.980312098314498,1.04637631731924e-11,7.182638741043622e-08,medium,POINT (518773.083614 6578101.270125)
